entity	month	year	pool_type	asset_class_std	engine_bucket	component_source	amount_kNIS	share_used	share_rule_used	dep_rate_annual_used	dep_rate_monthly_used	notes
HPC	2019-01	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-893.8593329967964	0.012820512820512822	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-02	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-1787.7186659935928	0.025641025641025644	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-03	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-2681.5779989903895	0.03846153846153847	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-04	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-3575.4373319871856	0.05128205128205129	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-05	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-4469.296664983982	0.06410256410256411	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-06	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-5363.155997980779	0.07692307692307694	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-07	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-6257.015330977575	0.08974358974358976	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-08	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-7150.874663974371	0.10256410256410257	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-09	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-8044.733996971168	0.1153846153846154	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
HPC	2019-10	2019	background	mixed	background::mixed	bridge_adjustment::HPC_2019-01_to_2019-12	-8938.593329967964	0.12820512820512822	block_background_schedule::hpc_operator_linear_backloaded	0.09494823065440372	0.008279132077057993	Smooth bridge adjustment added only to the background margin so the monthly path lands on the next hard annual stock anchor without a December-only stock plug.
