entity	month	year	pool_type	asset_class_std	engine_bucket	component_source	amount_kNIS	share_used	share_rule_used	dep_rate_annual_used	dep_rate_monthly_used	notes
HPC	2018-01	2018	background	mixed	background::mixed	HPC_BG_RESIDUAL	0.0	0.01282051282051282	hpc_operator_linear_backloaded	0.09414433931694423	0.008205755847094931	Residual after mapped undated pools
HPC	2018-01	2018	mapped_undated	equipment	mapped_undated::equipment	HPC_2019_AR	196.69943849999999	0.01282051282051282	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-01	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	HPC_2019_AR	153.5520648205128	0.01282051282051282	hpc_operator_linear_backloaded	0.05	0.0042653187775606	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-01	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	HPC_2019_AR	45.85106079487179	0.01282051282051282	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-02	2018	background	mixed	background::mixed	HPC_BG_RESIDUAL	0.0	0.02564102564102564	hpc_operator_linear_backloaded	0.09414433931694423	0.008205755847094931	Residual after mapped undated pools
HPC	2018-02	2018	mapped_undated	equipment	mapped_undated::equipment	HPC_2019_AR	393.39887699999997	0.02564102564102564	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-02	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	HPC_2019_AR	307.1041296410256	0.02564102564102564	hpc_operator_linear_backloaded	0.05	0.0042653187775606	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-02	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	HPC_2019_AR	91.70212158974358	0.02564102564102564	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-03	2018	background	mixed	background::mixed	HPC_BG_RESIDUAL	0.0	0.038461538461538464	hpc_operator_linear_backloaded	0.09414433931694423	0.008205755847094931	Residual after mapped undated pools
HPC	2018-03	2018	mapped_undated	equipment	mapped_undated::equipment	HPC_2019_AR	590.0983155	0.038461538461538464	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-03	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	HPC_2019_AR	460.6561944615385	0.038461538461538464	hpc_operator_linear_backloaded	0.05	0.0042653187775606	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-03	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	HPC_2019_AR	137.55318238461538	0.038461538461538464	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-04	2018	background	mixed	background::mixed	HPC_BG_RESIDUAL	0.0	0.05128205128205128	hpc_operator_linear_backloaded	0.09414433931694423	0.008205755847094931	Residual after mapped undated pools
HPC	2018-04	2018	mapped_undated	equipment	mapped_undated::equipment	HPC_2019_AR	786.7977539999999	0.05128205128205128	hpc_operator_linear_backloaded	0.122090909090909	0.0107923593727995	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
HPC	2018-04	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	HPC_2019_AR	614.2082592820512	0.05128205128205128	hpc_operator_linear_backloaded	0.05	0.0042653187775606	From class-level ppe rollforward | proportionally rescaled to annual authoritative total | proportionally rescaled to annual authoritative total
