port	terminal	year	month	month_index	quarter	L_hours_i_m	TEU_i_m	share_i_p_q	Pi_teu_per_hour_i_y
Ashdod	Ashdod-HCT	2018	1	24217	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	2	24218	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	3	24219	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	4	24220	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	5	24221	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	6	24222	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	7	24223	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	8	24224	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	9	24225	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	10	24226	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	11	24227	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2018	12	24228	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	1	24229	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	2	24230	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	3	24231	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	4	24232	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	5	24233	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	6	24234	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	7	24235	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	8	24236	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	9	24237	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	10	24238	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	11	24239	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2019	12	24240	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	1	24241	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	2	24242	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	3	24243	Q1	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	4	24244	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	5	24245	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	6	24246	Q2	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	7	24247	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	8	24248	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	9	24249	Q3	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	10	24250	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	11	24251	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2020	12	24252	Q4	0.0	0.0	0.0	
Ashdod	Ashdod-HCT	2021	1	24253	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	2	24254	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	3	24255	Q1	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	4	24256	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	5	24257	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	6	24258	Q2	0.0	0.0	0.0	31.200000000000003
Ashdod	Ashdod-HCT	2021	7	24259	Q3	89.29225999607128	0.0	0.0069462419193516	31.200000000000003
Ashdod	Ashdod-HCT	2021	8	24260	Q3	89.29225999607128	4743.112913078105	0.0069462419193516	31.200000000000003
Ashdod	Ashdod-HCT	2021	9	24261	Q3	89.29225999607128	3952.085574313424	0.0069462419193516	31.200000000000003
Ashdod	Ashdod-HCT	2021	10	24262	Q4	170.57328279376125	4919.787745545559	0.0126117141280246	31.200000000000003
Ashdod	Ashdod-HCT	2021	11	24263	Q4	170.57328279376125	4438.195468322242	0.0126117141280246	31.200000000000003
Ashdod	Ashdod-HCT	2021	12	24264	Q4	170.57328279376125	6270.233103868998	0.0126117141280246	31.200000000000003
Ashdod	Ashdod-HCT	2022	1	24265	Q1	260.3813877466176	5750.774345184445	0.0177853987994264	29.6
Ashdod	Ashdod-HCT	2022	2	24266	Q1	260.3813877466176	7800.061568136653	0.0177853987994264	29.6
Ashdod	Ashdod-HCT	2022	3	24267	Q1	260.3813877466176	6768.164086678901	0.0177853987994264	29.6
Ashdod	Ashdod-HCT	2022	4	24268	Q2	330.8229352686734	4326.902139925321	0.0221127094431899	29.6
Ashdod	Ashdod-HCT	2022	5	24269	Q2	330.8229352686734	10328.880256654682	0.0221127094431899	29.6
Ashdod	Ashdod-HCT	2022	6	24270	Q2	330.8229352686734	11930.217603419997	0.0221127094431899	29.6
Ashdod	Ashdod-HCT	2022	7	24271	Q3	638.154997080631	15192.77306399003	0.0462664317034678	29.6
Ashdod	Ashdod-HCT	2022	8	24272	Q3	638.154997080631	18597.859566679537	0.0462664317034678	29.6
Ashdod	Ashdod-HCT	2022	9	24273	Q3	638.154997080631	26542.36736933044	0.0462664317034678	29.6
Ashdod	Ashdod-HCT	2022	10	24274	Q4	642.6592609851592	13732.599428640397	0.0516143467451591	29.6
Ashdod	Ashdod-HCT	2022	11	24275	Q4	642.6592609851592	25457.717973368843	0.0516143467451591	29.6
Ashdod	Ashdod-HCT	2022	12	24276	Q4	642.6592609851592	19806.93259799075	0.0516143467451591	29.6
Ashdod	Ashdod-HCT	2023	1	24277	Q1	1149.3959279169517	27837.13692352143	0.0752760476857675	28.0
Ashdod	Ashdod-HCT	2023	2	24278	Q1	1149.3959279169517	30523.17858578851	0.0752760476857675	28.0
Ashdod	Ashdod-HCT	2023	3	24279	Q1	1149.3959279169517	29964.68449069006	0.0752760476857675	28.0
Ashdod	Ashdod-HCT	2023	4	24280	Q2	1676.7509399199023	40866.029530656655	0.1137510561889698	28.0
Ashdod	Ashdod-HCT	2023	5	24281	Q2	1676.7509399199023	55820.49272237844	0.1137510561889698	28.0
Ashdod	Ashdod-HCT	2023	6	24282	Q2	1676.7509399199023	53857.22774696493	0.1137510561889698	28.0
Ashdod	Ashdod-HCT	2023	7	24283	Q3	1713.9500962740788	40905.94660486635	0.1133426979942588	28.0
Ashdod	Ashdod-HCT	2023	8	24284	Q3	1713.9500962740788	51801.27231693696	0.1133426979942588	28.0
Ashdod	Ashdod-HCT	2023	9	24285	Q3	1713.9500962740788	55981.03107819669	0.1133426979942588	28.0
Ashdod	Ashdod-HCT	2023	10	24286	Q4	1114.2869644604957	40369.43447352597	0.0889776345225434	28.0
Ashdod	Ashdod-HCT	2023	11	24287	Q4	1114.2869644604957	29797.897409679572	0.0889776345225434	28.0
Ashdod	Ashdod-HCT	2023	12	24288	Q4	1114.2869644604957	17243.918116794466	0.0889776345225434	28.0
Ashdod	Ashdod-HCT	2024	1	24289	Q1	647.6756555064741	20032.40010460742	0.088836683766419	61.0
Ashdod	Ashdod-HCT	2024	2	24290	Q1	647.6756555064741	35058.07338361554	0.088836683766419	61.0
Ashdod	Ashdod-HCT	2024	3	24291	Q1	647.6756555064741	46982.27651177704	0.088836683766419	61.0
Ashdod	Ashdod-HCT	2024	4	24292	Q2	1019.597142989147	51112.9007220922	0.1378324233196048	61.0
Ashdod	Ashdod-HCT	2024	5	24293	Q2	1019.597142989147	70082.2071258096	0.1378324233196048	61.0
Ashdod	Ashdod-HCT	2024	6	24294	Q2	1019.597142989147	63739.89215209821	0.1378324233196048	61.0
Ashdod	Ashdod-HCT	2024	7	24295	Q3	1118.7864898109551	75663.05353625775	0.1377685875034361	61.0
