series_key	port	year	quarter	log_LP	n_obs	freq	level	terminal	tq	quarter_str	analysis_unit	analysis_port	source_series
ashdod_port	Ashdod	2018	1	3.7363571884943525	3	quarterly_from_monthly	port		8072	2018Q1	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2018	2	3.7421285562485704	3	quarterly_from_monthly	port		8073	2018Q2	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2018	3	3.7048959639447134	3	quarterly_from_monthly	port		8074	2018Q3	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2018	4	3.6647671242877116	3	quarterly_from_monthly	port		8075	2018Q4	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2019	1	3.7279788084067285	3	quarterly_from_monthly	port		8076	2019Q1	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2019	2	3.707295222203914	3	quarterly_from_monthly	port		8077	2019Q2	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2019	3	3.733026864693444	3	quarterly_from_monthly	port		8078	2019Q3	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2019	4	3.7758389482889627	3	quarterly_from_monthly	port		8079	2019Q4	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2020	1	3.6834707644900995	3	quarterly_from_monthly	port		8080	2020Q1	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2020	2	3.707687742414795	3	quarterly_from_monthly	port		8081	2020Q2	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2020	3	3.6130913271062712	3	quarterly_from_monthly	port		8082	2020Q3	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2020	4	3.6463842866482867	3	quarterly_from_monthly	port		8083	2020Q4	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2021	1	3.711605996484258	3	quarterly_from_monthly	port		8084	2021Q1	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2021	2	3.637346586002238	3	quarterly_from_monthly	port		8085	2021Q2	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2021	3	3.6416981623324385	3	quarterly_from_monthly	port		8086	2021Q3	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod	2021	4	3.628779127318732	1	quarterly_from_monthly	port		8087	2021Q4	ashdod_incumbent	Ashdod	ashdod_port
