design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	within_r2	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	0.1286041566308817	0.03890572920189769	3.3055326109813365	0.0009479607195290208	4	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	0.10623366291432629	0.03793971615906488	2.8000647782638732	0.005109235255430331	3	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	0.0005552483359637372	1.8958855636407663e-14	29287017455.70895	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	0.043814837651034846	1.7221037261277167e-14	2544262403377.751	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.0944842095322331	2.264801445106303e-14	-4171853993487.641	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	0.04643185036721144	2.2249083949521722e-14	2086910655402.9412	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	0.17476638397254354	2.302074344303433e-14	7591691571777.834	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	0.5560028398996693	0.3737491368366994	1.487636452101296	0.13684679480177428	4	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	-0.03625978714010836	0.1897553313250879	-0.19108705345405166	0.8484573905918605	4	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	-0.34805160071433927	1.7675860645588834e-14	-19690786643602.477	0.0	1	44	0.7939079554918179	0.45026754915497236	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.491892644417804	0.42134607228072024	-1.1674314222397268	0.24303618772582902	4	44	0.6731322739293357	0.5323536834325471	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	-0.13536170419696703	0.1541004924728021	-0.878398907264087	0.37972727718099286	3	44	0.6731322739293357	0.5323536834325471	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.10722096542499626	0.07480128314697239	1.4334107773836506	0.1517404802451823	1	44	0.6731322739293357	0.5323536834325471	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	0.18304286689816024	0.14960256629393706	1.223527586676021	0.22113049125157547	1	44	0.6731322739293357	0.5323536834325471	HC1
